Входы и просмотры в разделах Главная и Подписки;;;;;;;;В разбивке по кол-ву подписок (только раздел Подписки);;;;;;
;;;;;;;;;;;;;;
Столбец;Данные;;platform;screen;visits;views;;Столбец;Данные;;user_subs_count;subs_visits;subs_views;user_cnt
platform;Платформа;;iOS;Подписки;1905121;253656;;user_subs_count;Кол-во подписок пользователя;;01.авг;122170;12640;22257
screen;Раздел;;iOS;Главная;20577150;8545502;;visits;Кол-во посещений раздела Подписки;;9-19;168060;27174;23386
visits;Кол-во посещений;;WEB;Подписки;613329;87733;;views;"Кол-во посещений раздела подписки, в которых был просмотр";;20-33;182829;33780;22949
views;"Кол-во посещений, в которых был просмотр";;WEB;Главная;6970993;1572110;;user_cnt;Кол-во пользователей;;34-54;214956;39500;26544
;;;;;;;;;;;55-79;186047;32298;23699
;;;;;;;;;;;80-113;179588;30969;24135
;;;;;;;;;;;114-159;162721;25323;23011
;;;;;;;;;;;160-241;167335;24006;25457
;;;;;;;;;;;242-414;147710;18872;24738
;;;;;;;;;;;>=415;125632;11047;23521
;;;;;;;;;;;;;;
