"Количество сессий (посещений раздела подписки), в рамках которых пользователь видел определенное соотношение количества видео к количеству авторов";;;;;;
;;;;;;
Столбец;Данные;;platform;vid_per_auth;session_count;
platform;Платформа;;TV;60;1;
vid_per_auth;Кол-во видео на 1 автора;;TV;51;1;
session_count;Кол-во сессий;;TV;50;1;
;;;TV;48;2;
;;;TV;47;1;
;;;TV;46;2;
;;;TV;44;2;
;;;TV;43;2;
;;;TV;42;9;
;;;TV;41;1;
;;;TV;40;2;
;;;TV;39;2;
;;;TV;38;1;
;;;TV;37;1;
;;;TV;36;13;
;;;TV;35;2;
;;;TV;33;13;
;;;TV;32;7;
;;;TV;31;2;
;;;TV;30;30;
;;;TV;29;6;
;;;TV;28;9;
;;;TV;27;31;
;;;TV;26;19;
;;;TV;25;13;
;;;TV;24;79;
;;;TV;23;35;
;;;TV;22;19;
;;;TV;21;127;
;;;TV;20;51;
;;;TV;19;45;
;;;TV;18;204;
;;;TV;17;124;
;;;TV;16;102;
;;;TV;15;387;
;;;TV;14;245;
;;;TV;13;242;
;;;TV;12;810;
;;;TV;11;692;
;;;TV;10;688;
;;;TV;9;2150;
;;;TV;8;2255;
;;;TV;7;2683;
;;;TV;6;18296;
;;;TV;5;11788;
;;;TV;4;18724;
;;;TV;3;96893;
;;;TV;2;237017;
;;;TV;1;240462;
;;;SAA android;53;1;
;;;SAA android;51;1;
;;;SAA android;50;5;
;;;SAA android;49;9;
;;;SAA android;48;11;
;;;SAA android;47;9;
;;;SAA android;46;14;
;;;SAA android;45;17;
;;;SAA android;44;20;
;;;SAA android;43;24;
;;;SAA android;42;22;
;;;SAA android;41;36;
;;;SAA android;40;35;
;;;SAA android;39;42;
;;;SAA android;38;38;
;;;SAA android;37;45;
;;;SAA android;36;55;
;;;SAA android;35;64;
;;;SAA android;34;75;
;;;SAA android;33;77;
;;;SAA android;32;85;
;;;SAA android;31;89;
;;;SAA android;30;121;
;;;SAA android;29;122;
;;;SAA android;28;152;
;;;SAA android;27;167;
;;;SAA android;26;220;
;;;SAA android;25;271;
;;;SAA android;24;296;
;;;SAA android;23;349;
;;;SAA android;22;380;
;;;SAA android;21;461;
;;;SAA android;20;478;
;;;SAA android;19;573;
;;;SAA android;18;743;
;;;SAA android;17;881;
;;;SAA android;16;997;
;;;SAA android;15;1206;
;;;SAA android;14;1584;
;;;SAA android;13;1955;
;;;SAA android;12;2464;
;;;SAA android;11;3218;
;;;SAA android;10;4273;
;;;SAA android;9;5963;
;;;SAA android;8;8522;
;;;SAA android;7;12556;
;;;SAA android;6;19131;
;;;SAA android;5;36109;
;;;SAA android;4;63222;
;;;SAA android;3;143394;
;;;SAA android;2;512978;
;;;SAA android;1;2118603;
