Объем TVT от подписки в зависимости от количества дней с подписки;;;;;;;;
;;;;;;;;
Столбец;Данные;;date_diff; tvt_new_sub_rec ; tvt_new_sub ;;;
date_diff;Дней с подписки;;0; 124897 500 ; 261123 728 ;;;
tvt_new_sub_rec;"total view time (общее время просмотра) контента подписки с Реком-экранов (Главная и боковая панель рекомендаций - ""Симилары""), сек";;1; 35057 624 ; 84833 831 ;;;
tvt_new_sub;"total view time (общее время просмотра) контента подписки, сек";;2; 27469 637 ; 58750 716 ;;;
;;;3; 24169 193 ; 50722 812 ;;;
;;;4; 21496 425 ; 43425 542 ;;;
;;;5; 19421 323 ; 38250 175 ;;;
;;;6; 18217 871 ; 35493 486 ;;;
;;;7; 15991 674 ; 31398 870 ;;;
;;;8; 14373 675 ; 27981 222 ;;;
;;;9; 13818 584 ; 26944 551 ;;;
;;;10; 13800 484 ; 26893 238 ;;;
;;;11; 12874 824 ; 25231 199 ;;;
;;;12; 12658 889 ; 24659 188 ;;;
;;;13; 11965 335 ; 23032 175 ;;;
;;;14; 11237 346 ; 21852 904 ;;;
;;;15; 10769 453 ; 20821 293 ;;;
;;;16; 11489 596 ; 21996 979 ;;;
;;;17; 11212 698 ; 21892 710 ;;;
;;;18; 11616 067 ; 21724 425 ;;;
;;;19; 10532 357 ; 19967 200 ;;;
;;;20; 10869 361 ; 20543 284 ;;;
;;;21; 10831 035 ; 20199 686 ;;;
;;;22; 8807 489 ; 17684 398 ;;;
;;;23; 10046 074 ; 18913 411 ;;;
;;;24; 9832 669 ; 18750 025 ;;;
;;;25; 8974 775 ; 17914 750 ;;;
;;;26; 7320 508 ; 15240 692 ;;;
;;;27; 8086 806 ; 16749 963 ;;;
;;;28; 8108 670 ; 15946 997 ;;;
;;;29; 7625 804 ; 15181 998 ;;;
;;;30; 7963 448 ; 15523 536 ;;;
;;;31; 7830 005 ; 15626 933 ;;;
;;;32; 7976 798 ; 15923 375 ;;;
