Количество подписок по месяцам и источникам;;;;;;;
;;;;;;;
Столбец;Данные;;subscr_mon;source;is_target_author; subs_cnt ;
subscr_mon;Месяц подписки;;2025-02-01;VK;0; 68815 566 ;
source;Источник подписки;;2025-03-01;VK;0; 71345 816 ;
is_target_author;"Является ли сообщество, на которое осуществляется подписка целевым. Целевой автор (сообщество/канал) - канал, где есть несколько длинных видео с 2023 года, подходящих для рекомендаций";;2025-04-01;VK;0; 64276 463 ;
subs_cnt;Кол-во подписок;;2025-05-01;VK;0; 59511 265 ;
;;;2025-06-01;VK;0; 54338 901 ;
;;;2025-07-01;VK;0; 54361 269 ;
;;;2025-02-01;VK Video;0; 1234 979 ;
;;;2025-03-01;VK Video;0; 1386 379 ;
;;;2025-04-01;VK Video;0; 1377 072 ;
;;;2025-05-01;VK Video;0; 1465 786 ;
;;;2025-06-01;VK Video;0; 1791 730 ;
;;;2025-07-01;VK Video;0; 1795 517 ;
;;;2025-02-01;VK;1; 21804 182 ;
;;;2025-03-01;VK;1; 22487 444 ;
;;;2025-04-01;VK;1; 21710 161 ;
;;;2025-05-01;VK;1; 20164 431 ;
;;;2025-06-01;VK;1; 20090 462 ;
;;;2025-07-01;VK;1; 19917 576 ;
;;;2025-02-01;VK Video;1; 3745 353 ;
;;;2025-03-01;VK Video;1; 3702 227 ;
;;;2025-04-01;VK Video;1; 3759 104 ;
;;;2025-05-01;VK Video;1; 3953 163 ;
;;;2025-06-01;VK Video;1; 4395 078 ;
;;;2025-07-01;VK Video;1; 5209 712 ;
